steamid,nJuegos,Indie,Action,Adventure,Strategy,Simulation,RPG,Free to Play,Early Access,Massively Multiplayer,Sports,Violent,Racing,Multiplayer,Singleplayer,Gore,Puzzle,Horror,Shooter,FPS,First-Person,Survival,Difficult,Rogue-like,Platformer,Turn-Based Strategy,Psychological Horror,Action RPG,RTS,MMORPG,JRPG,Zombies
76561197960266356,174,44,75,52,62,27,10,12,5,6,7,1,9,79,92,8,13,12,30,28,28,9,7,3,8,26,2,2,15,1,0,5
76561197960266370,327,49,174,83,91,60,46,18,16,11,7,4,7,136,163,10,11,14,93,101,85,23,7,3,4,25,0,3,12,4,3,13
76561197960266371,32,7,26,11,3,3,4,1,0,0,1,0,0,11,18,0,5,2,16,17,18,0,1,0,6,0,0,0,0,0,0,1
76561197960266389,8,0,8,2,0,0,0,0,0,0,0,0,0,6,3,0,0,0,8,8,8,0,0,0,0,0,0,0,0,0,0,1
76561197960266407,113,36,77,29,17,4,25,5,0,0,1,1,1,42,62,1,18,6,39,37,38,5,8,1,9,2,1,6,7,0,0,5
76561197960266416,17,0,17,6,0,0,0,1,0,0,0,0,0,10,8,0,1,0,16,17,17,0,0,0,1,0,0,0,0,0,0,1
76561197960266422,41,1,35,11,4,3,3,1,0,1,0,0,0,25,28,0,3,0,27,29,29,0,0,0,1,1,0,0,1,0,0,2
76561197960266423,42,3,19,8,19,6,4,4,0,0,0,0,0,25,26,0,0,0,16,16,16,0,1,0,0,12,0,0,2,0,0,2
76561197960266429,8,0,8,2,0,0,0,0,0,0,0,0,0,6,3,0,0,0,8,8,8,0,0,0,0,0,0,0,0,0,0,1
76561197960266440,290,95,184,84,56,27,45,31,2,7,11,2,17,105,161,10,45,9,64,60,54,5,19,4,34,16,2,8,5,2,0,9
76561197960266448,83,28,60,17,19,4,16,12,4,1,4,0,2,45,38,1,10,3,27,28,29,11,7,3,5,1,0,6,1,0,0,8
76561197960266455,400,195,302,79,87,34,61,64,23,26,20,12,15,205,139,33,22,32,112,99,72,26,38,22,48,18,3,11,15,6,0,18
76561197960266457,17,0,17,4,0,0,0,0,0,0,0,0,0,12,8,0,0,0,17,17,17,0,0,0,0,0,0,0,0,0,0,2
76561197960266471,19,0,19,5,0,0,0,0,0,0,0,0,0,13,9,0,0,1,19,19,19,0,0,0,0,0,0,0,0,0,0,3
76561197960266476,139,24,60,17,66,24,5,4,1,0,2,0,2,67,85,1,10,5,28,30,30,4,4,2,3,18,0,3,19,0,0,5
76561197960266481,13,0,13,2,1,0,0,1,0,0,0,0,0,11,5,0,0,0,12,12,12,0,0,0,0,0,0,0,0,0,0,1
76561197960266482,107,19,83,27,17,19,11,21,3,7,4,1,10,63,54,5,6,4,54,48,40,6,3,0,2,1,0,1,2,2,0,7
76561197960266484,50,2,37,10,7,8,1,3,2,2,0,1,2,29,30,1,3,2,30,29,31,3,0,0,1,0,0,0,0,0,0,2
76561197960266489,98,22,72,31,17,5,27,13,3,3,1,1,5,56,42,4,4,6,48,42,43,8,3,1,7,5,0,3,0,2,1,8
76561197960266493,38,1,33,9,3,3,2,7,3,5,4,0,3,26,15,1,1,2,24,26,22,5,0,0,1,0,0,1,0,1,0,5
76561197960266498,67,13,60,20,1,7,7,38,3,13,0,2,1,48,20,8,0,5,39,40,39,7,1,0,0,0,2,1,0,4,0,10
76561197960266501,742,371,426,237,150,108,119,153,40,50,38,17,37,219,220,31,63,58,137,119,124,32,24,7,60,17,11,9,19,19,14,31
76561197960266516,69,12,45,18,17,4,5,1,0,0,0,0,0,37,47,2,10,2,34,32,34,1,1,0,7,12,0,0,0,0,0,6
76561197960266519,146,37,117,47,12,6,22,12,3,2,2,1,4,64,89,10,18,16,71,66,63,9,7,0,13,0,0,2,1,0,0,13
76561197960266522,29,0,26,8,3,3,0,2,0,0,1,0,0,21,17,0,1,1,22,22,25,0,0,0,1,0,0,0,2,0,0,1
76561197960266526,56,3,46,18,6,4,3,3,0,0,3,0,3,33,31,1,2,1,28,29,30,1,1,0,1,0,0,1,5,0,0,3
76561197960266530,23,0,23,5,0,0,1,0,0,0,0,0,0,13,12,0,0,0,19,19,19,0,0,0,1,0,0,0,0,0,0,2
76561197960266531,664,275,305,379,47,29,93,29,3,5,4,10,7,98,352,28,137,89,89,92,96,12,28,8,82,5,23,23,10,1,4,17
76561197960266546,1457,514,778,547,286,185,240,58,14,24,35,25,48,382,713,69,186,144,262,229,217,62,62,24,119,61,33,37,73,7,17,70
76561197960266547,65,4,45,28,4,3,2,6,4,4,2,2,3,31,17,2,2,1,24,20,15,6,1,0,3,0,0,0,1,0,0,4
76561197960266549,8,0,8,2,0,0,0,0,0,0,0,0,0,6,3,0,0,0,8,8,8,0,0,0,0,0,0,0,0,0,0,1
76561197960266551,419,182,245,161,112,31,106,19,7,14,3,5,5,132,214,14,70,23,69,57,57,15,34,13,67,28,2,27,31,6,19,12
76561197960266553,13,0,13,4,0,0,0,0,0,0,0,0,0,9,5,0,0,0,13,13,13,0,0,0,0,0,0,0,0,0,0,1
76561197960266560,156,59,94,63,15,5,16,2,2,0,1,4,2,39,94,11,38,8,50,44,46,1,8,1,25,1,2,4,6,0,1,6
76561197960266561,189,67,107,51,55,47,33,36,13,12,4,4,6,95,77,10,13,13,45,42,45,23,5,2,3,6,1,4,15,2,1,14
76561197960266563,85,19,56,21,24,11,7,4,1,3,0,1,2,32,42,2,5,11,31,28,28,3,1,1,5,6,1,1,5,1,0,8
76561197960266564,118,49,77,29,34,20,11,5,1,0,7,1,7,49,63,3,23,5,32,30,37,2,6,1,10,5,1,2,7,0,0,1
76561197960266573,158,90,108,66,15,23,14,5,11,11,2,4,3,41,29,11,3,17,37,43,38,14,2,4,8,7,1,0,2,2,1,15
76561197960266579,1562,861,735,661,321,179,339,41,23,6,38,21,42,252,790,58,262,108,155,120,168,47,123,47,197,66,36,38,53,2,64,32
76561197960266580,40,6,29,7,8,10,1,14,5,7,1,0,0,26,16,0,1,0,23,22,18,6,0,0,0,0,0,0,0,0,0,3
76561197960266591,26,2,21,11,4,0,5,4,0,2,0,0,0,14,11,0,2,1,18,18,18,1,0,0,1,4,0,0,0,2,0,2
76561197960266615,127,12,84,52,14,4,19,5,1,1,1,4,2,44,72,1,14,9,41,33,30,7,4,2,10,9,2,0,1,0,1,6
76561197960266629,46,0,44,6,1,0,0,0,0,0,0,1,0,19,26,3,0,3,41,42,33,0,0,0,1,0,0,0,1,0,0,5
76561197960266632,8,3,6,2,2,0,1,1,0,0,0,0,0,4,3,0,0,2,2,2,3,0,1,0,0,0,0,0,0,0,0,0
76561197960266635,8,0,8,2,0,0,0,0,0,0,0,0,0,6,3,0,0,0,8,8,8,0,0,0,0,0,0,0,0,0,0,1
76561197960266640,422,48,287,163,48,15,41,9,1,0,3,6,5,106,244,25,49,38,137,128,107,5,11,0,34,8,5,1,24,0,2,11
76561197960266641,21,0,19,5,0,1,0,0,0,0,1,0,1,15,11,0,0,0,19,19,19,0,0,0,0,0,0,0,0,0,0,1
76561197960266642,117,24,74,30,25,40,15,22,8,10,6,1,10,64,47,7,6,9,37,41,46,18,3,0,2,0,1,0,3,1,0,9
76561197960266649,17,0,17,4,0,0,0,0,0,0,0,0,0,12,8,0,0,0,17,17,17,0,0,0,0,0,0,0,0,0,0,2
76561197960266678,47,2,39,18,5,4,3,6,0,1,1,0,1,22,20,0,3,3,23,23,24,1,0,0,2,0,0,0,0,0,0,3
76561197960266679,446,127,224,174,130,66,57,6,6,2,17,8,16,142,252,15,62,29,75,69,77,15,19,6,35,38,4,6,35,0,2,13
76561197960266685,8,0,8,2,0,0,0,0,0,0,0,0,0,6,3,0,0,0,8,8,8,0,0,0,0,0,0,0,0,0,0,1
76561197960266689,17,0,17,4,0,0,0,0,0,0,0,0,0,12,8,0,0,0,17,17,17,0,0,0,0,0,0,0,0,0,0,2
76561197960266692,158,11,127,45,11,6,10,3,0,1,0,4,1,59,77,5,5,10,89,79,63,8,1,1,9,1,0,1,1,0,0,12
76561197960266699,8,0,8,2,0,0,0,0,0,0,0,0,0,6,3,0,0,0,8,8,8,0,0,0,0,0,0,0,0,0,0,1
76561197960266700,31,2,15,8,15,0,2,2,0,0,0,0,0,21,18,0,2,0,11,11,12,0,0,0,1,13,0,0,0,0,0,1
76561197960266755,19,0,18,4,0,0,0,1,0,0,0,0,0,13,8,0,0,0,18,18,18,0,0,0,0,0,0,0,0,0,0,2
76561197960266758,15,0,15,4,0,0,0,0,0,0,0,0,0,10,6,0,0,0,15,15,15,0,0,0,0,0,0,0,0,0,0,2
76561197960266763,12,0,12,4,0,0,0,0,0,0,0,0,0,8,5,0,0,0,12,12,12,0,0,0,0,0,0,0,0,0,0,1
76561197960266780,8,0,8,2,0,0,0,0,0,0,0,0,0,6,3,0,0,0,8,8,8,0,0,0,0,0,0,0,0,0,0,1
76561197960266810,14,0,13,4,0,0,0,0,0,0,0,0,0,9,5,0,0,0,13,13,13,0,0,0,0,0,0,0,0,0,0,1
76561197960266818,357,109,231,116,55,42,43,11,3,3,8,5,17,112,205,25,47,45,109,105,102,12,18,1,26,4,6,8,9,1,1,19
76561197960266821,9,0,9,2,0,0,0,1,0,0,0,0,0,7,3,0,0,0,9,9,9,0,0,0,0,0,0,0,0,0,0,1
76561197960266823,58,9,36,14,20,8,3,1,0,0,1,0,1,34,28,0,3,2,25,25,27,2,1,0,5,14,0,0,2,0,0,3
76561197960266826,8,0,8,2,0,0,0,0,0,0,0,0,0,6,3,0,0,0,8,8,8,0,0,0,0,0,0,0,0,0,0,1
76561197960266831,21,0,20,7,1,0,0,3,0,0,0,0,0,11,9,0,0,0,17,17,17,0,0,0,0,0,0,0,0,0,0,2
76561197960266841,55,8,39,9,5,5,5,1,0,0,2,1,2,27,31,4,3,6,31,30,30,2,0,0,2,1,1,0,2,0,0,4
76561197960266845,63,2,52,14,6,2,0,5,1,2,0,0,1,40,34,2,3,3,48,42,41,4,2,0,1,3,0,0,0,0,0,8
76561197960266852,29,1,24,6,6,1,1,0,0,0,0,0,0,20,17,0,0,0,24,21,22,0,0,0,0,5,0,0,0,0,0,2
76561197960266859,12,0,12,4,0,0,0,0,0,0,0,0,0,8,5,0,0,0,12,12,12,0,0,0,0,0,0,0,0,0,0,1
76561197960266863,261,25,169,64,61,25,36,4,1,0,5,2,11,117,153,13,12,18,91,93,82,3,4,0,8,24,5,6,26,0,1,6
76561197960266865,29,0,28,8,1,2,2,3,1,2,0,0,1,18,13,0,1,1,24,25,26,1,0,0,1,0,0,0,0,0,0,3
76561197960266867,8,0,8,2,0,0,0,0,0,0,0,0,0,6,3,0,0,0,8,8,8,0,0,0,0,0,0,0,0,0,0,1
76561197960266870,8,0,8,2,0,0,0,0,0,0,0,0,0,6,3,0,0,0,8,8,8,0,0,0,0,0,0,0,0,0,0,1
76561197960266874,1060,466,517,360,216,146,183,23,22,8,21,8,42,184,384,33,165,70,163,141,122,23,39,18,102,34,20,16,32,4,30,33
76561197960266881,44,8,33,13,3,0,3,2,1,0,1,0,1,23,18,2,4,6,23,20,19,5,1,0,3,2,1,0,2,0,0,4
76561197960266882,119,8,95,28,2,13,5,9,1,1,3,2,13,65,64,9,4,9,66,56,49,5,1,0,3,0,1,0,0,0,0,7
76561197960266889,37,2,30,8,7,5,6,4,2,2,2,1,2,26,18,2,1,0,22,20,18,1,0,0,0,0,0,1,4,0,0,1
76561197960266896,10,0,10,2,0,0,0,0,0,0,0,0,0,8,3,0,0,0,10,10,10,0,0,0,0,0,0,0,0,0,0,1
76561197960266902,40,4,36,7,5,2,0,2,0,1,0,1,0,30,20,5,2,4,31,32,30,1,0,0,1,0,0,0,5,0,0,4
76561197960266904,440,146,237,135,98,47,60,23,9,12,10,6,11,134,220,15,53,21,103,85,72,17,22,4,29,16,3,13,23,2,4,17
76561197960266906,119,14,83,29,22,18,8,2,2,2,6,4,11,66,68,7,5,8,41,36,35,2,1,0,7,3,2,3,12,1,0,3
76561197960266910,18,2,15,4,0,3,0,2,0,0,1,0,1,13,8,0,0,0,14,14,14,0,0,0,0,0,0,0,0,0,0,2
76561197960266911,20,0,18,9,0,0,5,0,0,0,0,0,0,10,10,0,0,0,15,15,17,0,0,0,0,0,0,0,0,0,0,2
76561197960266912,72,8,39,12,17,11,15,6,3,2,0,0,0,32,32,0,2,1,32,29,26,2,3,0,1,6,0,4,0,0,0,3
76561197960266913,80,1,51,13,13,13,1,6,1,6,2,2,5,48,44,2,2,3,39,40,43,4,4,0,1,3,2,0,2,1,0,9
76561197960266915,41,9,37,8,6,1,10,4,0,3,0,2,1,25,13,4,5,2,20,25,18,1,0,0,5,0,0,2,2,0,0,3
76561197960266918,8,0,8,2,0,0,0,0,0,0,0,0,0,6,3,0,0,0,8,8,8,0,0,0,0,0,0,0,0,0,0,1
76561197960266923,52,1,43,9,7,7,5,1,2,1,1,0,2,33,24,1,0,0,32,34,29,1,0,0,0,0,0,0,0,0,0,4
76561197960266937,68,9,56,24,9,2,13,9,0,1,0,1,0,34,34,5,7,4,32,33,34,3,2,0,3,1,0,3,2,0,0,4
76561197960266945,2956,1432,1505,1194,535,298,448,29,62,26,36,67,92,458,1072,129,428,260,359,294,316,124,152,49,291,72,73,51,93,8,46,127
76561197960266952,10,0,10,3,0,0,0,0,0,0,0,0,0,8,4,0,0,0,10,9,10,0,0,0,0,0,0,0,0,0,0,1
76561197960266955,253,45,170,73,63,45,38,30,3,11,8,3,8,126,147,8,22,8,75,72,67,10,8,2,8,3,1,12,24,4,0,9
76561197960266960,137,10,108,36,3,16,17,36,4,3,8,3,8,64,59,5,2,10,72,58,63,5,2,0,1,1,3,4,0,1,0,9
76561197960266963,23,0,22,5,0,0,0,2,0,0,0,0,0,18,13,0,1,0,20,22,21,0,0,0,0,0,0,0,0,0,0,3
76561197960266964,17,0,17,4,0,0,0,0,0,0,0,0,0,12,8,0,0,0,17,17,17,0,0,0,0,0,0,0,0,0,0,2
76561197960266966,10,0,10,2,0,0,0,0,0,0,0,0,0,8,5,0,0,0,10,10,10,0,0,0,0,0,0,0,0,0,0,1
76561197960266967,17,0,17,6,0,0,0,0,0,0,0,0,0,11,9,0,0,0,14,14,14,0,0,0,0,0,0,0,0,0,0,3
76561197960266969,84,5,66,27,12,7,4,3,0,1,4,0,4,43,58,5,3,8,40,39,41,3,4,0,4,6,1,0,3,0,0,5
76561197960266970,336,42,194,61,84,37,62,8,2,3,3,4,13,127,154,16,20,21,105,91,75,10,8,1,13,19,4,6,29,0,2,15
76561197960266975,9,0,9,2,0,0,0,1,0,0,0,0,0,7,3,0,0,0,9,9,9,0,0,0,0,0,0,0,0,0,0,1
76561197960266977,159,11,84,52,45,10,21,4,0,0,2,0,5,55,93,1,15,10,41,30,36,4,5,1,7,24,1,1,14,0,3,6
76561197960266980,48,3,46,6,6,1,2,13,1,5,0,0,2,37,18,3,0,5,34,39,30,4,0,0,0,0,0,0,1,0,0,6
76561197960266987,16,0,16,6,0,0,0,1,0,0,0,0,0,10,7,0,0,0,16,16,16,0,0,0,0,0,0,0,0,0,0,1
76561197960267011,244,85,151,93,21,28,21,58,13,16,8,4,9,94,102,8,27,18,55,43,60,20,7,3,19,1,4,0,1,2,0,17
76561197960267012,44,1,30,5,7,6,3,6,0,2,4,0,0,28,19,3,0,2,26,24,23,3,0,0,0,0,0,1,0,2,0,3
76561197960267020,12,0,12,4,0,0,0,0,0,0,0,0,0,8,5,0,0,0,12,12,12,0,0,0,0,0,0,0,0,0,0,1
76561197960267022,119,16,44,20,60,31,9,2,3,4,0,0,0,52,73,0,5,2,27,23,28,4,10,1,0,28,0,0,13,0,0,5
76561197960267025,22,1,21,7,1,0,0,0,0,0,0,0,0,14,11,0,2,2,19,21,21,1,0,0,1,0,0,0,1,0,0,3
76561197960267034,8,0,8,2,0,0,0,0,0,0,0,0,0,6,3,0,0,0,8,8,8,0,0,0,0,0,0,0,0,0,0,1
76561197960267035,23,0,23,5,0,2,0,2,0,0,0,0,0,17,10,0,0,0,22,23,20,0,0,0,0,0,0,0,0,0,0,2
76561197960267039,155,40,93,55,39,5,31,10,2,2,0,3,1,62,89,7,21,9,40,41,40,5,10,1,17,12,2,9,11,0,0,7
76561197960267042,14,1,14,2,0,1,0,4,0,0,0,0,0,12,3,1,0,0,13,14,14,0,0,0,0,0,0,0,0,0,0,2
76561197960267044,24,5,20,7,4,2,1,2,1,0,1,0,1,13,10,0,2,1,16,17,17,0,0,0,1,0,1,0,0,0,0,2
76561197960267047,25,1,21,6,2,2,0,1,0,0,0,0,0,17,8,0,0,0,20,20,19,2,0,0,0,0,0,0,0,0,0,3
76561197960267051,8,0,8,2,0,0,0,0,0,0,0,0,0,6,3,0,0,0,8,8,8,0,0,0,0,0,0,0,0,0,0,1
76561197960267053,10,0,10,2,0,0,0,0,0,0,0,0,0,8,5,0,0,0,10,10,10,0,0,0,0,0,0,0,0,0,0,1
76561197960267054,12,0,12,4,0,0,0,0,0,0,0,0,0,8,5,0,0,0,12,12,12,0,0,0,0,0,0,0,0,0,0,1
76561197960267064,91,18,71,21,14,5,18,29,5,19,0,1,2,62,31,3,2,4,38,33,31,10,1,0,1,0,1,0,8,6,0,9
76561197960267068,136,5,87,16,41,12,7,2,1,1,1,2,2,73,89,5,4,4,69,75,62,3,2,0,3,12,0,0,12,0,0,10
76561197960267071,116,5,95,35,2,6,9,10,2,5,3,1,4,62,67,7,8,11,68,64,57,10,2,2,2,0,2,0,1,1,0,12
76561197960267078,17,0,17,4,0,2,0,1,0,0,0,0,0,13,8,0,0,0,16,17,14,0,0,0,0,0,0,0,0,0,0,1
76561197960267079,245,51,156,71,87,24,47,26,6,13,3,2,4,107,135,9,17,18,59,55,49,13,11,5,16,27,3,12,18,2,1,11
76561197960267085,17,0,17,5,0,0,0,1,0,0,0,0,0,12,10,2,0,0,17,17,16,0,0,0,0,0,0,0,0,0,0,1
76561197960267089,44,1,33,9,3,3,3,1,0,0,0,0,0,20,24,1,2,4,30,30,32,0,0,0,1,0,0,0,2,0,0,2
76561197960267091,10,0,10,4,0,0,0,0,0,0,0,0,0,6,5,0,0,0,10,10,10,0,0,0,0,0,0,0,0,0,0,1
76561197960267093,57,21,46,28,5,2,5,7,0,5,0,0,2,26,28,2,14,5,25,23,27,0,4,0,7,1,2,1,0,2,0,3
76561197960267097,73,18,55,26,6,14,9,6,1,1,4,2,6,36,36,5,3,6,20,19,22,6,1,0,4,1,1,4,1,0,0,4
76561197960267098,20,2,16,7,1,1,2,1,0,1,0,0,0,10,10,0,2,1,13,13,13,0,0,0,3,0,0,0,0,1,0,2
76561197960267100,27,0,26,4,1,0,0,0,0,0,0,0,0,21,16,0,0,0,25,25,25,0,0,0,0,0,0,0,1,0,0,4
76561197960267103,17,0,17,4,0,0,0,0,0,0,0,0,0,12,8,0,0,0,17,17,17,0,0,0,0,0,0,0,0,0,0,2
76561197960267107,8,0,8,2,0,0,0,0,0,0,0,0,0,6,3,0,0,0,8,8,8,0,0,0,0,0,0,0,0,0,0,1
76561197960267109,14,0,14,5,0,0,0,0,0,0,0,0,0,8,7,0,1,0,13,14,14,0,0,0,1,0,0,0,0,0,0,1
76561197960267113,77,13,53,19,14,24,3,8,13,5,4,2,5,43,26,4,3,6,29,33,34,11,0,0,1,1,2,1,2,0,0,5
76561197960267131,8,0,8,2,0,0,0,0,0,0,0,0,0,6,3,0,0,0,8,8,8,0,0,0,0,0,0,0,0,0,0,1
76561197960267136,8,0,8,2,0,0,0,0,0,0,0,0,0,6,3,0,0,0,8,8,8,0,0,0,0,0,0,0,0,0,0,1
76561197960267161,156,47,110,39,22,10,37,6,0,3,2,0,3,50,84,9,19,17,51,45,46,6,10,3,14,2,2,5,4,1,0,9
76561197960267164,11,0,11,2,0,0,0,0,0,0,0,0,0,9,5,0,0,0,11,11,11,0,0,0,0,0,0,0,0,0,0,1
76561197960267172,254,50,135,99,35,48,32,26,9,6,9,9,11,69,131,10,15,19,55,52,64,9,4,0,13,17,5,0,3,1,0,13
76561197960267175,16,0,14,3,2,2,0,3,1,0,0,0,1,12,4,1,0,2,13,11,14,3,1,0,0,0,0,0,1,0,0,3
76561197960267176,82,11,61,33,5,7,17,2,2,2,4,1,2,30,57,9,2,6,27,26,27,5,5,0,2,2,1,2,2,1,0,3
76561197960267184,92,28,54,28,17,21,3,4,5,0,1,0,2,44,49,3,10,3,35,34,35,9,6,3,3,4,0,0,4,0,0,5
76561197960267185,1050,539,582,348,190,133,207,457,47,159,28,14,26,350,183,26,88,58,139,123,110,44,30,12,60,19,20,9,24,62,12,41
76561197960267186,80,10,52,16,16,2,7,6,1,1,1,1,1,45,35,4,1,6,37,37,32,2,0,0,3,10,0,1,0,0,0,5
76561197960267196,10,0,10,3,0,0,0,0,0,0,0,0,0,7,4,0,0,0,10,10,10,0,0,0,0,0,0,0,0,0,0,1
76561197960267200,15,0,15,4,0,0,0,0,0,0,0,0,0,11,8,1,0,0,15,15,15,0,0,0,0,0,0,0,0,0,0,1
76561197960267207,23,0,20,7,3,1,1,3,0,0,0,0,0,16,10,0,0,1,18,16,17,1,0,0,0,1,0,0,1,0,0,2
76561197960267215,21,0,19,5,1,1,1,0,0,0,0,0,0,16,10,0,1,0,16,16,16,0,0,0,1,0,0,0,1,0,0,1
76561197960267219,15,0,15,4,0,0,0,1,0,0,0,0,0,10,6,0,1,1,14,15,15,1,0,0,1,0,0,0,0,0,0,2
